363,Samaritanismo,346
364,Testemunhas de Jeová,346
365,Judaísmo,345
366,Islamismo,345
367,Sunismo,366
368,Xiismo,366
369,Carijismo,366
370,Wahhabismo,366
371,Ismaelismo,366
372,Sufismo,366
373,Babismo,345
374,Fé Bahá í,345
375,Rastafári,345
376,Maniqueísmo,345
377,Yarsanismo,345
378,Cao Dai,345
379,Iazdânismo,345
380,Bnei Noah,345
381,Não-abraâmicas,344
382,Atonismo,381
383,Ayyavazhi,381
384,Bramanismo,381
385,Hinduísmo,381
386,Vixnuísmo,385
387,Xivaismo,385
388,Zoroastrismo,381
389,Sikhismo,381
390,Cao Dai,381
391,Seicho-no-ie,381
392,Xintoísmo,381
393,Mitraísmo,381
394,Religião tradicional chinesa,381
395,Messianismo Judaico,381
396,Messianismo Oriental,381
397,Cientologia,381
398,Tenrikyo,381
399,Chendoísmo,381
400,Unitário-Universalismo,381
401,Pastafarianismo,381
402,Santería,381
403,Vodu,381
404,Batuque,381
405,Candomblé,381
406,Tambor de Mina,381
407,Xangô do Nordeste,381
408,Umbanda,381
409,Quimbanda,381
410,Politeísmo,343
411,Antigas,410
412,Africana,411
413,Angolana,411
414,Árabe,411
415,Armênica,411
416,Asteca,411
417,Assíria,411
418,Babilônica,411
419,Bantu,411
420,Brasileira,411
421,Chinesa,411
422,Céltica,411
423,Congolesa,411
424,Egípica,411
425,Etrusca,411
426,Eslava,411
427,Etíope,411
428,Estoniana,411
429,Escocesa,411
430,Fenícia,411
431,Fino-húngara,411
432,Filandesa,411
433,Greco-romana,411
434,Grega,411
435,Guaraní,411
436,Germânica,411
437,Havaiana,411
438,Hitita,411
439,Inca,411
440,Inuíte,411
441,Iorubá,411
442,Khoi,411
443,Letã,411
444,Líbio-amrênica,411
445,Lusitana,411
446,Laponiana,411
447,Maia,411
448,Malaia,411
449,Mamaiu,411
450,Maori,411
451,Mongol,411
452,Moabita,411
453,Navajo,411
454,Nórdica,411
455,Persa,411
456,Polinésia,411
457,Polonesa,411
458,Rapa nui,411
459,Romana,411
460,Russa,411
461,Síriaca,411
462,Suméria,411
463,Siamesa,411
464,Samoieda,411
465,Tupi-guarani,411
466,Tailandesa,411
467,Transilvânica,411
468,Védica,411
469,Bruxaria Ancestral,411
470,Helenismo,411
471,Wicca,411
472,Xamanismo,411
473,Odinismo,411
474,Druidismo,411
475,Kemetismo,411
476,Teísmo Indefinido,410
477,Satanismo,476
478,Luciferianismo,476
479,Ocultismo,476
480,Não-Teístas,343
481,Ayyavazhi,480
482,Budismo,480
483,Vajrayana,482
484,Zen,482
485,Mahayana,482
486,Hinaiana,482
487,Reiyukai,482
488,Honmon Butsuryu-Shu,482
489,Nitiren,482
490,Teravada,482
491,Terra Pura,482
492,Budismo tibetano,482
493,Taoísmo,480
494,Confucionismo,480
495,Jainismo,480
496,Tenrikyo,480
497,Conscienciologia,480
498,Posicionamento Político,3
499,Anarquismo,498
500,Monarquismo,498
501,Parlamentarismo,498
502,Ambientalismo,498
503,Anarquismo,498
504,Autoritarismo,498
505,Democratismo,498
506,Monarquismo,498
507,Totalitarismo,498
508,Oligarquismo,498
509,Posicionamento Econômico,3
510,Capitalismo,509
511,Comunismo,509
512,Marxismo,511
513,Stalinismo,511
514,Leninismo,511
515,Maoísmo,511
516,Titoísmo,511
517,Marxismo-leninismo,511
518,Anarquismo,509
519,Autoritarismo,509
520,Socialismo (Social-democracia),509
521,Conservadorismo Econômico,509
522,Liberalismo Econômico,509
523,Posicionamento Social,3
524,Ambientalismo,523
525,Centrismo,523
526,Conservadorismo Social,523
527,Fascismo,523
528,Feminismo,523
529,Individualismo,523
530,Libertarismo (Liberalismo Social),523
531,Nacionalismo,523
532,Nazismo,523
533,Orientação Sexual (Atração),3
534,Assexualidade,533
535,Arromanticidade,533
536,Bissexualidade,533
537,Birromanticidade,533
538,Demissexual,533
539,Heterorromanticidade,533
540,Heterossexualidade,533
541,Homorromanticidade,533
542,Homossexualidade,533
543,Panssexualidade,533
544,Poli-amor,533
545,Polirromanticidade,533
546,Gênero (Identidade),3
547,Queer,546
548,Androgenia,546
549,Bigênero,546
550,Cisgênero,546
551,Cross-Dressing,546
552,Drag Queen,546
553,Drag King,546
554,Drag,546
555,Transgênero,546
556,Gênero-fluido,546
557,Sexo,3
558,Cis,557
559,Diádico,557
560,Masculino,557
561,Feminino,557
562,Interssexual,557
563,SRS,557
564,Trans,557
565,Personalidade Profissional (MBTI),3
566,ENTP,565
567,ENTJ,565
568,ENFP,565
569,ENFJ,565
570,ESTJ,565
571,ESFJ,565
572,ESTP,565
573,ESFP,565
574,INTP,565
575,INTJ,565
576,INFP,565
577,INFJ,565
578,ISTJ,565
579,ISFJ,565
580,ISTP,565
581,ISFP,565
